T,SNR,Ïƒ,error,error_simple_ota,res
14.0,1.0,3.162,0.28160865891151027,5.233092011785141,0.0007389684388542758
14.0,10.0,1.0,0.043797147457279556,0.5233092011785141,0.0007389684388542758
14.0,100.0,0.316,0.02000941954866423,0.0523309201178514,0.0007389684388542758
16.0,1.0,3.162,0.28563369786579396,5.233092011785141,0.000982057559727081
16.0,10.0,1.0,0.04065015775387515,0.5233092011785141,0.000982057559727081
16.0,100.0,0.316,0.016142160832746406,0.0523309201178514,0.000982057559727081
18.0,1.0,3.162,0.29040012311659746,5.233092011785141,0.0009341439761515219
18.0,10.0,1.0,0.03797888923573304,0.5233092011785141,0.0009341439761515219
18.0,100.0,0.316,0.012728113252618871,0.0523309201178514,0.0009341439761515219
20.0,1.0,3.162,0.29252811523655436,5.233092011785141,0.0009787630167146608
20.0,10.0,1.0,0.035600037659439594,0.5233092011785141,0.0009787630167146608
20.0,100.0,0.316,0.009897044532770877,0.0523309201178514,0.0009787630167146608
22.0,1.0,3.162,0.2960285460287793,5.233092011785141,0.0008504700234659102
22.0,10.0,1.0,0.03392318079224998,0.5233092011785141,0.0008504700234659102
22.0,100.0,0.316,0.0077026721522377205,0.0523309201178514,0.0008504700234659102
24.0,1.0,3.162,0.2996499932578813,5.233092011785141,0.0009551856228014818
24.0,10.0,1.0,0.0326196620456831,0.5233092011785141,0.0009551856228014818
24.0,100.0,0.316,0.005906793806587644,0.0523309201178514,0.0009551856228014818
26.0,1.0,3.162,0.30073019640080106,5.233092011785141,0.0011628495533331314
26.0,10.0,1.0,0.031432095717309164,0.5233092011785141,0.0011628495533331314
26.0,100.0,0.316,0.00449265836024229,0.0523309201178514,0.0011628495533331314
28.0,1.0,3.162,0.3039463008207383,5.233092011785141,0.0009532970603859868
28.0,10.0,1.0,0.030892505994574715,0.5233092011785141,0.0009532970603859868
28.0,100.0,0.316,0.003577614334016532,0.0523309201178514,0.0009532970603859868
30.0,1.0,3.162,0.3045935577840407,5.233092011785141,0.001146710519134919
30.0,10.0,1.0,0.030474725067579655,0.5233092011785141,0.001146710519134919
30.0,100.0,0.316,0.0030531162178623855,0.0523309201178514,0.001146710519134919
35.0,1.0,3.162,0.3067537282521663,5.233092011785141,0.0012362728278085798
35.0,10.0,1.0,0.030690442248465552,0.5233092011785141,0.0012362728278085798
35.0,100.0,0.316,0.0030742593119163887,0.0523309201178514,0.0012362728278085798
40.0,1.0,3.162,0.30685622191933865,5.233092011785141,0.001309995703721388
40.0,10.0,1.0,0.030700372083153953,0.5233092011785141,0.001309995703721388
40.0,100.0,0.316,0.00307507207818543,0.0523309201178514,0.001309995703721388
45.0,1.0,3.162,0.3063273893343677,5.233092011785141,0.0010724327526739378
45.0,10.0,1.0,0.030647786376036185,0.5233092011785141,0.0010724327526739378
45.0,100.0,0.316,0.003069974311618459,0.0523309201178514,0.0010724327526739378
